"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",877.903659894562,-0.504887717550173,0.0591751432452199,-8.5320911764917,1.43725708091347e-17,2.02973336230313e-16
"0610009B22RIK",108.511003836878,-0.0351781667642034,0.115679878808082,-0.304099270561698,0.761052262548724,0.832696614085283
"0610009L18RIK",3.27191351181252,-0.273163289748123,0.738519963123906,-0.369879357888519,0.711472382436705,0.794921984729764
"0610009O20RIK",203.816851760842,-0.102863394396431,0.0988832966375079,-1.04025045578237,0.298223555560145,0.416836295486335
"0610010F05RIK",28.8143488772762,0.289793446917083,0.223241640105249,1.29811556114915,0.1942476278133,0.296109747041345
"0610010K14RIK",288.737389648172,0.23278120463636,0.0787030343294088,2.95771575543152,0.00309927769682491,0.0084116420669122
"0610011F06RIK",222.773846864498,-0.121646073124409,0.0720981729525983,-1.68722823537272,0.0915594741329885,0.160207406652826
"0610030E20RIK",223.23343369299,0.00514711886654372,0.0814970058694252,0.0631571529730853,0.949641363601321,0.965861739010161
"0610037L13RIK",150.854856318889,-0.23450195826913,0.114665496153596,-2.04509609372824,0.0408453853296393,0.0808408666805712
"0610040J01RIK",0.186473883086219,1.40858659224736,5.12729612051252,0.274723081940225,0.783528996411636,NA
"1110001J03RIK",82.9410806749982,-0.604770862111076,0.146276615982548,-4.1344329580555,3.55832105044595e-05,0.000143352354744842
"1110004E09RIK",196.796068670556,0.162375630494031,0.0883913043350412,1.83700910078844,0.0662085518888166,0.1216582140957
"1110004F10RIK",1188.74348621595,0.0533104005940301,0.0430487735681897,1.23837211087061,0.215578116779726,0.321762838198054
"1110007C09RIK",113.739979174232,-0.505041569168538,0.12685038240678,-3.9813957166403,6.8511778637441e-05,0.000262831663242567
"1110008F13RIK",55.1213630017802,0.40344204072334,0.294668523940819,1.36913856739027,0.170955964627427,0.266894322763746
"1110008L16RIK",104.093122879412,-0.279061965619587,0.122161167623142,-2.28437539562877,0.02234947830229,0.048370896991538
"1110008P14RIK",129.47632953567,-0.594653718180531,0.113271389206849,-5.24981394105278,1.52252913179017e-07,8.78084567491645e-07
"1110012L19RIK",104.440354959089,-0.405555387499751,0.125518085719392,-3.23105140725625,0.00123335755352409,0.00367789610705108
"1110017D15RIK",0.115591665357111,0,5.1345215985144,0,1,NA
"1110025L11RIK",0.0375774900683154,0,5.13452159851441,0,1,NA
"1110032A03RIK",34.0715648640532,0.0571401247229028,0.215701836437439,0.26490328347054,0.791083968830046,0.856048125935195
"1110032F04RIK",76.2486126654835,0.691983174198337,0.13426636043636,5.15380898051767,2.55247953396727e-07,1.43373318503693e-06
"1110034G24RIK",58.567092863279,0.593497151371345,0.148589316296301,3.9942114693351,6.49099118817958e-05,0.000250126487966312
"1110037F02RIK",268.963341583607,0.32190152826528,0.103465793459103,3.11118793471119,0.00186336307990386,0.00535179058650895
"1110038F14RIK",140.303560226905,-0.022182797954814,0.106484648387463,-0.208319211179607,0.834979732329846,0.888483821454215
"1110051M20RIK",66.9794751663489,-0.337836154370033,0.160299851756188,-2.10752630566292,0.0350719839435499,0.0709374896260946
"1110057K04RIK",318.450209026549,0.198466497551952,0.0860013353673303,2.30771413844051,0.0210150411826455,0.0459207048545104
"1110057P08RIK",0,NA,NA,NA,NA,NA
"1110059E24RIK",533.740873165445,-0.448730943907012,0.0760152156775686,-5.90317267282882,3.56576716100778e-09,2.49738841336202e-08
"1110059G10RIK",107.271379376876,-0.225087807177649,0.110857969951717,-2.03041610157288,0.0423142613341765,0.0832766293349927
"1110065P20RIK",51.4155995522596,0.412350637309205,0.221736872805116,1.85963945505635,0.0629365532506302,0.116606595939581
"1190002N15RIK",77.8592374235775,-0.588432730639923,0.166510143629173,-3.5339152187052,0.000409452395100862,0.0013491279121306
"1190003K10RIK",0,NA,NA,NA,NA,NA
"1190005I06RIK",4.99230929679356,4.24459755891348,0.899172154309666,4.72056161722695,2.35194346120332e-06,1.14767033625523e-05
"1190007I07RIK",95.7278047064621,0.0935728980064335,0.116282952160841,0.804700055060561,0.420992787805834,0.54199469576595
"1200014J11RIK",510.901387054506,0.00217251623048325,0.0616902167700529,0.0352165439551168,0.971907070245208,0.981620070322611
"1300017J02RIK",0.142817860924725,0.834614516331291,5.13003535318511,0.162691766990085,0.870761129613762,NA
"1500009C09RIK",0.0300462485059626,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1500009L16RIK",16.4437410178512,2.45152080825424,0.354406413896808,6.9172585825945,4.6046714709132e-12,4.20961343800234e-11
"1500011B03RIK",130.302555124229,-0.78514429529233,0.117446802027619,-6.68510578183043,2.30757897979599e-11,1.98476340975006e-10
"1500011K16RIK",71.1646451259843,-0.129896347005031,0.161227641502109,-0.805670453247507,0.420432890448713,0.541489433576717
"1500012F01RIK",1407.4346431909,-0.140257247975055,0.0911286201598318,-1.53911304405856,0.123776701128807,0.205305219361745
"1500015O10RIK",0.0204410643767172,0,5.1345215985144,0,1,NA
"1600002H07RIK",91.7092591136325,0.471849890696624,0.163779067262967,2.88101464113856,0.00396397226480696,0.0104303420888234
"1600002K03RIK",104.825804519784,-0.717475514992606,0.109292744387612,-6.56471313821206,5.21331260620727e-11,4.36783755659956e-10
"1600012H06RIK",137.359519761802,-0.674601566993174,0.0983507380343682,-6.8591408714944,6.92758999301323e-12,6.24496893028705e-11
"1600014C10RIK",481.220330964495,0.473484720512332,0.116211017929302,4.07435309447493,4.6142428966884e-05,0.00018225907209637
"1600014C23RIK",0.808324387903856,-1.03500368587505,1.14183863354721,-0.906436036990394,0.364705105831323,0.486976181774773
"1600014K23RIK",0,NA,NA,NA,NA,NA
"1600015I10RIK",0.305596271297652,-1.14882936155047,3.56423247688082,-0.322321669252016,0.747209018705214,NA
"1700001C02RIK",0.0226591000933234,0,5.1345215985144,0,1,NA
"1700001C19RIK",1.11204740183671,1.40294068151973,1.32029403760186,1.06259715000151,0.287964680034358,0.405520476913179
"1700001F09RIK",0,NA,NA,NA,NA,NA
"1700001J03RIK",0.853479862483814,1.16276119549641,1.54891361030579,0.750694672549785,0.452836429942693,0.572227416014328
"1700001K19RIK",0.0926703490523523,0,5.1345215985144,0,1,NA
"1700001L19RIK",0.0551522415835494,-1.13318212754313,5.1345215985144,-0.220698677725106,0.82532706110024,NA
"1700001O22RIK",18.0544288452743,-0.283008518492452,0.298515460436601,-0.948053136271506,0.34310240408612,0.464070754836684
"1700001P01RIK",0.60252956312866,-1.01487368120931,1.77524859146412,-0.571679755775671,0.567538951820184,NA
"1700003E16RIK",1.47222733471205,2.48575835769077,1.22327781187539,2.03204728603708,0.0421488691393139,0.0830775211315198
"1700003F12RIK",0.559025374419195,1.64033990091012,1.53570966279642,1.0681315229359,0.285461188168459,NA
"1700003H04RIK",0,NA,NA,NA,NA,NA
"1700003M02RIK",0,NA,NA,NA,NA,NA
"1700006A11RIK",0.109552775753718,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700006E09RIK",0,NA,NA,NA,NA,NA
"1700007B14RIK",0.0484370303194754,0,5.1345215985144,0,1,NA
"1700007G11RIK",0,NA,NA,NA,NA,NA
"1700007K09RIK",0.322443178485378,0.646542729173141,3.10031264992296,0.208541138323326,0.834806464902616,NA
"1700007K13RIK",0.964064531113423,-0.140471444436969,1.30333639892155,-0.107778348362865,0.914171518331187,0.942664229663789
"1700008F21RIK",0,NA,NA,NA,NA,NA
"1700008I05RIK",0.092605309693444,0,5.1345215985144,0,1,NA
"1700008O03RIK",1.04975377125202,1.24188891869217,1.0959693818415,1.13314198304107,0.257154633299269,0.369575862277451
"1700008P02RIK",0,NA,NA,NA,NA,NA
"1700009N14RIK",0,NA,NA,NA,NA,NA
"1700010B08RIK",0,NA,NA,NA,NA,NA
"1700010I14RIK",21.7596669796528,-0.438174329524402,0.273610745620534,-1.60145146540443,0.10927696160665,0.185439692423406
"1700011A15RIK",0,NA,NA,NA,NA,NA
"1700011E24RIK",0,NA,NA,NA,NA,NA
"1700011H14RIK",0.103147243691779,0,5.1345215985144,0,1,NA
"1700011I03RIK",0,NA,NA,NA,NA,NA
"1700011L22RIK",0.0298458527171003,0,5.1345215985144,0,1,NA
"1700011M02RIK",0,NA,NA,NA,NA,NA
"1700012A03RIK",0,NA,NA,NA,NA,NA
"1700012B07RIK",0.0450689035461081,0,5.1345215985144,0,1,NA
"1700012B09RIK",0.127800536132426,-0.652290119700293,5.13452159851441,-0.127040096566937,0.89890866316425,NA
"1700012L04RIK",0.025756946264739,0,5.1345215985144,0,1,NA
"1700012P22RIK",0,NA,NA,NA,NA,NA
"1700013D24RIK",0,NA,NA,NA,NA,NA
"1700013F07RIK",0.0318818179694788,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700013G24RIK",0,NA,NA,NA,NA,NA
"1700013H16RIK",0,NA,NA,NA,NA,NA
"1700015E13RIK",0.0235624482379037,0,5.1345215985144,0,1,NA
"1700015F17RIK",0,NA,NA,NA,NA,NA
"1700015G11RIK",0,NA,NA,NA,NA,NA
"1700016C15RIK",0.143983408377029,-1.88518347525883,5.11983891872502,-0.3682114818816,0.71271554955503,NA
"1700016D06RIK",9.06737669959495,-0.88045780986297,0.369429984207981,-2.38328735484365,0.0171587945329389,0.0384556767287071
"1700016H13RIK",0.0251059930775868,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700016K19RIK",0.0244527372673654,0,5.1345215985144,0,1,NA
"1700017B05RIK",229.054224037588,0.535714726625532,0.0756437185907754,7.08207815011968,1.42008528662024e-12,1.35174564148046e-11
"1700017D01RIK",0.0691634007999222,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700017G19RIK",0,NA,NA,NA,NA,NA
"1700017N19RIK",0.144090395276175,0,5.13452159851441,0,1,NA
"1700018B08RIK",0,NA,NA,NA,NA,NA
"1700018C11RIK",0,NA,NA,NA,NA,NA
"1700018F24RIK",0.0752236757419364,0,5.1345215985144,0,1,NA
"1700019A02RIK",0.045157187564618,0,5.1345215985144,0,1,NA
"1700019B03RIK",0.0575330360634172,0.309493895985378,5.1345215985144,0.0602770657494022,0.951934967606776,NA
"1700019D03RIK",2.60407186660792,0.193187648991377,0.732061450451351,0.263895399590113,0.791860520627044,0.856494302026392
"1700019G17RIK",30.8789144464207,-0.736281357915338,0.330912004175257,-2.22500649304154,0.0260808022634622,0.0551998131675633
"1700019L03RIK",0.933006576035804,-1.02483432755571,1.44873122766518,-0.707401281883986,0.479317140535179,0.59695822567628
"1700019N19RIK",0,NA,NA,NA,NA,NA
"1700019O17RIK",0,NA,NA,NA,NA,NA
"1700020A23RIK",0.109243930981686,-0.171398111857457,5.1345215985144,-0.0333815154087672,0.973370350014288,NA
"1700020D05RIK",0.763441390975871,1.87410681143505,1.43624226955994,1.30486816267375,0.191937743889051,0.293225040794244
"1700020L24RIK",0.483617553377509,0.979980234337811,1.91670093134117,0.511284894953377,0.60915158038541,NA
"1700020N01RIK",0.0438947381117445,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700020N15RIK",0,NA,NA,NA,NA,NA
"1700021F05RIK",92.5409786502656,0.138912671280994,0.115517877169552,1.20252098363186,0.229161741199976,0.337750516595978
"1700021F07RIK",0,NA,NA,NA,NA,NA
"1700021K19RIK",178.555359515318,-0.0208051420454148,0.108919545366586,-0.191013853164661,0.848514739733916,0.897276765568376
"1700022I11RIK",0.265828582700121,0,3.64697871296335,0,1,NA
"1700023E05RIK",0.142979187080716,0.790386923231619,4.87687427218426,0.162068341138026,0.871252036675642,NA
"1700023F06RIK",0.0329121561649394,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700024B05RIK",0,NA,NA,NA,NA,NA
"1700024G13RIK",0.0187887450341577,0,5.1345215985144,0,1,NA
"1700024P04RIK",0,NA,NA,NA,NA,NA
"1700024P16RIK",0.0591295553040698,-0.171398111857457,5.1345215985144,-0.0333815154087672,0.973370350014288,NA
"1700025B11RIK",0.0226591000933234,0,5.1345215985144,0,1,NA
"1700025C18RIK",0,NA,NA,NA,NA,NA
"1700025F22RIK",0.0251059930775868,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700025G04RIK",81.0629971060456,-0.791196628300748,0.154549620366623,-5.11936960067498,3.06558648504657e-07,1.70345475818567e-06
"1700026D08RIK",0,NA,NA,NA,NA,NA
"1700026L06RIK",0.481934528918228,-2.55209618964669,1.78649856122612,-1.42854645676016,0.153134632933951,NA
"1700028J19RIK",6.23668187012046,-1.72275450227087,0.537793350795521,-3.20337635212952,0.00135826352090696,0.0040115289740759
"1700028K03RIK",8.1932612415206,0.14367108032664,0.427263746781677,0.336258532133438,0.736675917626566,0.814290324738722
"1700028P14RIK",0,NA,NA,NA,NA,NA
"1700029F12RIK",0.0945573713645056,0.790385903828213,5.1345215985144,0.153935646907572,0.87766047690621,NA
"1700029H14RIK",0.0239922906795737,0,5.1345215985144,0,1,NA
"1700029I15RIK",0.524973974054812,-0.503637039023888,1.83743345737482,-0.274098110602299,0.784009225776867,NA
"1700029J07RIK",3.66197284920889,-0.352088059530386,0.573736896057817,-0.613675121731939,0.539430031330942,0.652155783672623
"1700029P11RIK",0,NA,NA,NA,NA,NA
"1700030J22RIK",3.64932514051154,-1.1422266154623,0.703572708491965,-1.62346634779303,0.104489751545358,0.178746287488859
"1700030K09RIK",74.8510454281169,0.433692509582222,0.139401947119599,3.1110936292026,0.00186395828440775,0.00535231173520504
"1700031F05RIK",0.0248147686638089,0.309493895985378,5.1345215985144,0.0602770657494022,0.951934967606776,NA
"1700031M16RIK",0,NA,NA,NA,NA,NA
"1700034E13RIK",0,NA,NA,NA,NA,NA
"1700034I23RIK",5.69488867806322,-0.102988727289293,0.503874201488728,-0.204393729595613,0.838045829817991,0.891013467126286
"1700034J05RIK",1.43739139756625,2.88628553246303,1.13317170666516,2.54708577304419,0.0108626729957731,0.025651613339416
"1700034O15RIK",0,NA,NA,NA,NA,NA
"1700037C18RIK",15.0278056764864,0.147409579258062,0.27549005050718,0.535081317770569,0.592593627928835,0.698350293421463
"1700037H04RIK",203.361902745151,-0.281197689769083,0.0953165584960774,-2.95014522351492,0.00317624594985768,0.00859939673657575
"1700039E15RIK",0.0700112489590289,0,5.1345215985144,0,1,NA
"1700040L02RIK",4.25485370830997,0.273330145589132,0.565261765325458,0.483546141550469,0.628708005764418,0.728979378452641
"1700042B14RIK",0.072433847524752,0,5.13452159851441,0,1,NA
"1700042G07RIK",0,NA,NA,NA,NA,NA
"1700047I17RIK2",269.176795467156,-0.423737402557429,0.0687782366893756,-6.16092274175568,7.23222716653385e-10,5.40162186063983e-09
"1700048O20RIK",14.5349245139049,-0.235701381019715,0.329654790031338,-0.714994558390334,0.474612405740217,0.592338261520063
"1700049E17RIK1",0,NA,NA,NA,NA,NA
"1700049E17RIK2",0,NA,NA,NA,NA,NA
"1700049G17RIK",30.6037900113663,1.0018617855803,0.293662515109709,3.41160936119481,0.000645805899351637,0.00204157993988582
"1700052N19RIK",216.294953021168,0.00806017549665042,0.0820516111779003,0.0982329948302263,0.921747283071009,0.947811484081195
"1700055N04RIK",0.0272961567048248,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700056E22RIK",2.98586796895699,-0.310133737121281,0.679910512969866,-0.456139052427075,0.648289989235884,0.744520534513085
"1700057G04RIK",0,NA,NA,NA,NA,NA
"1700061G19RIK",0.896543529688967,1.45205464498487,1.41815556928926,1.02390363682921,0.305880792280828,0.425220722583758
"1700063H04RIK",0,NA,NA,NA,NA,NA
"1700066B19RIK",26.3842537649698,0.528312604281401,0.227076940329453,2.3265797201376,0.0199876449420092,0.0438758145205891
"1700066M21RIK",79.9728980779694,0.702579722365528,0.193275879320271,3.63511331489692,0.000277858477601547,0.000947384624737379
"1700067K01RIK",0.770069772389151,-0.379274937498025,1.32682661690254,-0.285851167489718,0.774992116431199,0.843667257271227
"1700067P10RIK",0,NA,NA,NA,NA,NA
"1700069L16RIK",0.0475611110590952,0.790385903828213,5.1345215985144,0.153935646907572,0.87766047690621,NA
"1700074P13RIK",0.027247737334591,0.309493895985378,5.1345215985144,0.0602770657494021,0.951934967606776,NA
"1700080E11RIK",0,NA,NA,NA,NA,NA
"1700080O16RIK",0.0362512446349828,0,5.1345215985144,0,1,NA
"1700084C01RIK",0,NA,NA,NA,NA,NA
"1700084M14RIK",0,NA,NA,NA,NA,NA
"1700086D15RIK",0,NA,NA,NA,NA,NA
"1700088E04RIK",0.910854799598593,-2.87210130342057,2.09173692880217,-1.37307003757173,0.169730574630947,0.265493919398541
"1700092M07RIK",0.583129935632065,1.39708926133119,1.56823013187934,0.890870053400224,0.372998887613529,NA
"1700093K21RIK",0.224005346527653,1.33926838251635,3.25647433773164,0.411263300004766,0.680879477194059,NA
"1700101E01RIK",0.597427635616129,2.1580940255134,1.61519351996887,1.33612102750078,0.181509718087337,NA
"1700102P08RIK",1.06939558720524,0.248511923377161,1.28015244612532,0.194126819918472,0.846076581815032,0.896090278562245
"1700106J16RIK",0.14593234927063,-0.652291010656481,4.86123826298266,-0.134182069540501,0.893258604117867,NA
"1700109H08RIK",0.452043349882432,-0.0833141980232576,1.92848904609784,-0.0432017999748755,0.965540670257541,NA
"1700112E06RIK",0,NA,NA,NA,NA,NA
"1700113H08RIK",0,NA,NA,NA,NA,NA
"1700122O11RIK",0,NA,NA,NA,NA,NA
"1700123I01RIK",0.367026264718287,-0.0487593175292691,2.69215740878986,-0.0181116146366742,0.985549812331757,NA
"1700123K08RIK",0,NA,NA,NA,NA,NA
"1700123L14RIK",0,NA,NA,NA,NA,NA
"1700123O20RIK",297.288208064335,-0.448782984033866,0.0611747189538236,-7.33608575092302,2.19931139138e-13,2.23314695124738e-12
"1700125H20RIK",0.0901601953298276,-0.652290119700292,5.1345215985144,-0.127040096566937,0.89890866316425,NA
"1700128F08RIK",4.28098879176899,-0.487825607016068,0.534104065755843,-0.913353105308637,0.361056860702332,0.483302105758005
"1700129C05RIK",0.0239922906795737,0,5.1345215985144,0,1,NA
"1810009A15RIK",334.534611760103,0.0172091915330878,0.0667468888278007,0.257827620662374,0.79653994676484,0.859888718366828
